Size,Off Avg Write Time (ms),Off Avg Read Time (ms),IPFS Time (ms),Off Tot Avg Write Time (ms),Off Tot Avg Read Time (ms),On Avg Write Time (ms),On Avg Read Time (ms)
100 Kb,2.99,520.69,7.59,10.58,520.69,573.03,13.89
200 Kb,4.27,93.25,5.83,10.10,93.25,380.88,17.59
500 Kb,12.95,122.06,9.49,22.44,122.06,736.80,36.00
1 Mb,31.97,84.03,4.56,36.53,84.03,2143.12,70.80
2 Mb,10.50,73.83,3.92,14.42,73.83,2878.11,136.89
3 Mb,19.50,81.54,3.98,23.48,81.54,4425.30,181.14
5 Mb,10.53,75.41,4.22,14.75,75.41,CRASH,CRASH
10 MB,19.22,74.71,3.38,22.60,74.71,N/A,N/A
15 MB,28.56,79.83,3.69,32.25,79.83,N/A,N/A
20 Mb,40.02,75.77,4.06,44.08,75.77,N/A,N/A
25 Mb,50.71,93.93,3.82,54.53,93.93,N/A,N/A
30 Mb,54.33,70.03,3.95,58.28,70.03,N/A,N/A
40 Mb,72.46,82.47,4.04,76.50,82.47,N/A,N/A
50 Mb,96.18,73.14,3.79,99.97,73.14,N/A,N/A
75 Mb,143.17,82.84,3.85,147.02,82.84,N/A,N/A
100 Mb,187.86,74.15,3.65,191.51,74.15,N/A,N/A
200 Mb,352.27,73.26,3.65,355.92,73.26,N/A,N/A
300 Mb,557.85,79.28,4.77,562.62,79.28,N/A,N/A
400 Mb,715.73,84.43,3.68,719.41,84.43,N/A,N/A
500 Mb,912.49,88.90,4.09,916.58,88.90,N/A,N/A
